mileage,frequency,replace,keep
0,281,0,281
1,167,0,167
2,207,1,206
3,197,0,197
4,186,1,185
5,189,0,189
6,189,3,186
7,188,0,188
8,191,2,189
9,192,1,191
10,183,1,182
11,205,1,204
12,170,1,169
13,182,2,180
14,182,3,179
15,159,2,157
16,163,1,162
17,175,3,172
18,153,4,149
19,173,5,168
20,149,7,142
21,145,5,140
22,143,4,139
23,136,5,131
24,134,3,131
25,145,7,138
26,109,5,104
27,128,5,123
28,97,6,91
29,108,6,102
30,109,15,94
31,95,7,88
32,83,6,77
33,82,9,73
34,78,6,72
35,71,9,62
36,69,5,64
37,58,9,49
38,44,5,39
39,42,5,37
40,41,8,33
41,34,2,32
42,28,5,23
43,23,4,19
44,25,6,19
45,18,6,12
46,19,6,13
47,9,2,7
48,7,1,6
49,8,1,7
50,4,1,3
51,8,0,8
52,7,2,5
53,3,1,2
54,4,4,0
55,1,0,1
56,1,0,1
58,1,0,1
59,1,0,1
60,1,1,0
