bus,t,mileage,replace
0,0,0,0
0,1,2,0
0,2,3,0
0,3,4,0
0,4,5,0
0,5,6,0
0,6,7,0
0,7,8,0
0,8,9,0
0,9,11,0
0,10,12,0
0,11,12,0
0,12,13,0
0,13,14,0
0,14,16,0
0,15,17,1
0,16,0,0
0,17,2,0
0,18,3,0
0,19,5,0
0,20,6,0
0,21,7,0
0,22,9,0
0,23,10,0
0,24,12,0
0,25,12,0
0,26,13,0
0,27,14,1
0,28,0,0
0,29,1,0
0,30,3,0
0,31,5,0
0,32,6,0
0,33,8,0
0,34,9,0
0,35,10,1
0,36,0,0
0,37,1,0
0,38,2,0
0,39,4,0
0,40,6,0
0,41,8,0
0,42,9,0
0,43,10,0
0,44,11,0
0,45,12,1
0,46,0,0
0,47,1,0
0,48,3,0
0,49,5,0
0,50,6,0
0,51,8,0
0,52,10,0
0,53,12,0
0,54,13,1
0,55,0,0
0,56,2,0
0,57,2,0
0,58,3,0
0,59,5,0
0,60,6,0
0,61,7,0
0,62,8,0
0,63,10,0
0,64,11,0
0,65,13,0
0,66,15,1
0,67,0,0
0,68,1,0
0,69,1,0
0,70,3,0
0,71,4,0
0,72,5,0
0,73,5,0
0,74,7,0
0,75,7,0
0,76,9,0
0,77,10,0
0,78,10,0
0,79,12,0
0,80,13,0
0,81,14,0
0,82,15,0
0,83,16,0
0,84,18,0
0,85,20,0
0,86,22,1
0,87,0,0
0,88,2,0
0,89,3,0
0,90,4,1
0,91,0,0
0,92,1,0
0,93,3,0
0,94,5,0
0,95,6,0
0,96,8,0
0,97,10,0
0,98,12,1
0,99,0,0
0,100,2,0
0,101,4,0
0,102,5,0
0,103,7,0
0,104,8,0
0,105,9,0
0,106,9,0
0,107,10,0
0,108,12,0
0,109,14,1
0,110,0,0
0,111,2,0
0,112,4,0
0,113,5,0
0,114,6,0
0,115,7,0
0,116,8,0
0,117,10,0
0,118,12,0
0,119,14,0
1,0,0,0
1,1,2,0
1,2,4,0
1,3,5,0
1,4,7,0
1,5,8,0
1,6,9,0
1,7,10,0
1,8,11,0
1,9,12,0
1,10,14,1
1,11,0,0
1,12,0,0
1,13,2,0
1,14,3,0
1,15,5,0
1,16,7,0
1,17,8,0
1,18,9,0
1,19,10,0
1,20,12,0
1,21,14,0
1,22,15,0
1,23,16,0
1,24,18,1
1,25,0,0
1,26,1,0
1,27,2,0
1,28,3,0
1,29,5,0
1,30,6,0
1,31,6,0
1,32,6,0
1,33,8,1
1,34,0,0
1,35,1,0
1,36,2,0
1,37,2,0
1,38,3,0
1,39,5,0
1,40,5,0
1,41,6,0
1,42,8,0
1,43,10,0
1,44,11,0
1,45,11,0
1,46,12,0
1,47,13,0
1,48,15,0
1,49,16,1
1,50,0,0
1,51,1,0
1,52,1,0
1,53,1,0
1,54,2,0
1,55,2,0
1,56,3,0
1,57,5,0
1,58,7,0
1,59,9,0
1,60,11,0
1,61,13,0
1,62,15,0
1,63,17,0
1,64,18,1
1,65,0,0
1,66,1,0
1,67,2,0
1,68,4,0
1,69,5,0
1,70,7,0
1,71,9,0
1,72,11,0
1,73,12,0
1,74,14,0
1,75,16,1
1,76,0,0
1,77,1,0
1,78,2,0
1,79,4,0
1,80,5,0
1,81,6,0
1,82,7,0
1,83,7,0
1,84,9,0
1,85,10,0
1,86,12,0
1,87,13,0
1,88,14,0
1,89,15,0
1,90,17,0
1,91,19,1
1,92,0,0
1,93,2,0
1,94,2,0
1,95,2,0
1,96,2,0
1,97,3,0
1,98,4,0
1,99,5,0
1,100,6,0
1,101,7,0
1,102,8,0
1,103,9,0
1,104,11,0
1,105,12,0
1,106,13,1
1,107,0,0
1,108,2,0
1,109,3,0
1,110,4,0
1,111,5,0
1,112,7,0
1,113,8,0
1,114,10,0
1,115,11,1
1,116,0,0
1,117,2,0
1,118,3,0
1,119,5,0
2,0,0,0
2,1,1,0
2,2,3,0
2,3,4,0
2,4,6,0
2,5,7,0
2,6,8,0
2,7,9,0
2,8,10,0
2,9,11,0
2,10,13,0
2,11,15,0
2,12,15,0
2,13,16,0
2,14,17,0
2,15,19,0
2,16,21,0
2,17,23,1
2,18,0,0
2,19,1,0
2,20,2,0
2,21,3,0
2,22,4,0
2,23,5,0
2,24,5,0
2,25,6,0
2,26,7,0
2,27,8,0
2,28,10,0
2,29,12,0
2,30,13,1
2,31,0,0
2,32,2,0
2,33,4,0
2,34,6,0
2,35,7,0
2,36,8,0
2,37,9,0
2,38,11,0
2,39,12,0
2,40,12,0
2,41,13,0
2,42,15,1
2,43,0,0
2,44,2,0
2,45,2,0
2,46,4,1
2,47,0,0
2,48,2,0
2,49,3,0
2,50,5,0
2,51,6,1
2,52,0,0
2,53,2,0
2,54,3,0
2,55,5,0
2,56,6,0
2,57,8,0
2,58,9,1
2,59,0,0
2,60,2,0
2,61,3,0
2,62,5,0
2,63,6,0
2,64,7,0
2,65,8,0
2,66,10,0
2,67,11,0
2,68,11,0
2,69,13,0
2,70,15,0
2,71,17,1
2,72,0,0
2,73,2,0
2,74,3,0
2,75,5,0
2,76,6,0
2,77,6,0
2,78,8,0
2,79,9,0
2,80,11,0
2,81,13,0
2,82,14,0
2,83,16,1
2,84,0,0
2,85,1,0
2,86,2,0
2,87,3,0
2,88,5,0
2,89,5,0
2,90,6,0
2,91,6,0
2,92,7,1
2,93,0,0
2,94,1,0
2,95,1,0
2,96,2,0
2,97,3,0
2,98,4,0
2,99,4,0
2,100,5,0
2,101,6,0
2,102,7,0
2,103,9,0
2,104,10,0
2,105,11,0
2,106,13,0
2,107,15,0
2,108,17,0
2,109,18,0
2,110,19,1
2,111,0,0
2,112,2,0
2,113,3,0
2,114,4,0
2,115,6,0
2,116,7,0
2,117,7,0
2,118,8,0
2,119,10,0
3,0,0,0
3,1,2,0
3,2,4,0
3,3,5,0
3,4,6,0
3,5,8,0
3,6,10,0
3,7,10,1
3,8,0,0
3,9,2,0
3,10,3,0
3,11,5,0
3,12,6,0
3,13,7,0
3,14,7,0
3,15,9,0
3,16,11,0
3,17,12,1
3,18,0,0
3,19,2,0
3,20,3,0
3,21,5,0
3,22,6,0
3,23,7,0
3,24,8,0
3,25,10,0
3,26,10,0
3,27,10,0
3,28,12,0
3,29,14,1
3,30,0,0
3,31,2,0
3,32,3,0
3,33,5,0
3,34,6,0
3,35,6,0
3,36,8,0
3,37,9,0
3,38,11,1
3,39,0,0
3,40,2,0
3,41,3,0
3,42,4,0
3,43,5,0
3,44,6,0
3,45,8,0
3,46,9,0
3,47,11,0
3,48,12,0
3,49,14,0
3,50,15,0
3,51,16,1
3,52,0,0
3,53,2,0
3,54,3,0
3,55,5,0
3,56,7,0
3,57,8,0
3,58,9,0
3,59,11,0
3,60,13,0
3,61,14,0
3,62,15,0
3,63,17,0
3,64,19,0
3,65,20,1
3,66,0,0
3,67,2,0
3,68,4,0
3,69,6,0
3,70,6,0
3,71,7,0
3,72,8,0
3,73,9,0
3,74,10,0
3,75,11,0
3,76,12,0
3,77,13,0
3,78,15,0
3,79,16,1
3,80,0,0
3,81,0,0
3,82,2,0
3,83,4,0
3,84,5,0
3,85,7,0
3,86,9,1
3,87,0,0
3,88,1,0
3,89,2,0
3,90,3,0
3,91,4,0
3,92,6,0
3,93,8,0
3,94,10,0
3,95,11,0
3,96,12,0
3,97,12,0
3,98,13,0
3,99,14,0
3,100,16,0
3,101,18,1
3,102,0,0
3,103,2,0
3,104,3,0
3,105,4,0
3,106,4,0
3,107,5,0
3,108,7,0
3,109,9,0
3,110,10,0
3,111,12,0
3,112,14,0
3,113,16,0
3,114,17,0
3,115,19,0
3,116,20,1
3,117,0,0
3,118,1,0
3,119,2,0
4,0,0,0
4,1,1,0
4,2,2,0
4,3,4,0
4,4,5,0
4,5,6,0
4,6,6,0
4,7,6,0
4,8,7,0
4,9,8,0
4,10,8,0
4,11,9,0
4,12,10,0
4,13,12,0
4,14,12,0
4,15,12,0
4,16,14,0
4,17,15,0
4,18,16,0
4,19,17,0
4,20,19,0
4,21,19,1
4,22,0,0
4,23,1,0
4,24,2,0
4,25,4,0
4,26,6,0
4,27,7,0
4,28,9,0
4,29,10,1
4,30,0,0
4,31,1,0
4,32,2,0
4,33,3,0
4,34,4,0
4,35,5,0
4,36,7,0
4,37,8,0
4,38,10,0
4,39,11,0
4,40,12,0
4,41,14,1
4,42,0,0
4,43,1,0
4,44,3,0
4,45,4,0
4,46,5,0
4,47,7,0
4,48,9,0
4,49,10,0
4,50,11,0
4,51,11,0
4,52,11,1
4,53,0,0
4,54,1,0
4,55,2,0
4,56,2,0
4,57,3,0
4,58,4,0
4,59,5,0
4,60,7,0
4,61,7,0
4,62,8,0
4,63,9,0
4,64,11,0
4,65,12,1
4,66,0,0
4,67,1,0
4,68,3,0
4,69,5,0
4,70,6,0
4,71,8,0
4,72,9,0
4,73,10,0
4,74,11,0
4,75,13,0
4,76,14,0
4,77,15,0
4,78,16,0
4,79,17,0
4,80,18,1
4,81,0,0
4,82,1,0
4,83,3,0
4,84,5,0
4,85,6,0
4,86,7,0
4,87,8,0
4,88,9,0
4,89,11,0
4,90,12,0
4,91,13,0
4,92,14,0
4,93,15,0
4,94,16,0
4,95,17,0
4,96,17,1
4,97,0,0
4,98,2,0
4,99,3,0
4,100,5,0
4,101,6,0
4,102,7,0
4,103,8,1
4,104,0,0
4,105,1,0
4,106,3,0
4,107,3,0
4,108,4,0
4,109,6,0
4,110,7,0
4,111,8,0
4,112,10,0
4,113,10,0
4,114,11,0
4,115,12,1
4,116,0,0
4,117,2,0
4,118,3,0
4,119,4,0
5,0,0,0
5,1,2,0
5,2,3,0
5,3,4,0
5,4,6,0
5,5,8,0
5,6,9,0
5,7,10,0
5,8,11,0
5,9,13,0
5,10,14,0
5,11,15,0
5,12,15,0
5,13,16,0
5,14,17,0
5,15,19,0
5,16,20,0
5,17,21,0
5,18,21,0
5,19,23,1
5,20,0,0
5,21,0,0
5,22,1,0
5,23,2,0
5,24,2,0
5,25,4,0
5,26,5,0
5,27,6,0
5,28,8,1
5,29,0,0
5,30,2,0
5,31,3,0
5,32,5,0
5,33,7,0
5,34,7,0
5,35,9,0
5,36,11,0
5,37,13,0
5,38,14,0
5,39,16,0
5,40,18,0
5,41,19,0
5,42,21,1
5,43,0,0
5,44,1,0
5,45,3,0
5,46,5,0
5,47,6,0
5,48,7,0
5,49,7,0
5,50,8,0
5,51,9,0
5,52,10,0
5,53,12,0
5,54,14,0
5,55,16,0
5,56,17,1
5,57,0,0
5,58,0,0
5,59,2,0
5,60,4,0
5,61,5,0
5,62,6,0
5,63,8,0
5,64,10,0
5,65,12,0
5,66,14,0
5,67,15,1
5,68,0,0
5,69,1,0
5,70,2,0
5,71,3,0
5,72,5,0
5,73,6,0
5,74,7,0
5,75,8,0
5,76,9,0
5,77,10,0
5,78,12,0
5,79,14,0
5,80,15,0
5,81,17,0
5,82,18,0
5,83,18,1
5,84,0,0
5,85,1,0
5,86,1,0
5,87,2,0
5,88,3,0
5,89,4,0
5,90,6,0
5,91,7,0
5,92,8,0
5,93,9,0
5,94,11,0
5,95,13,0
5,96,14,0
5,97,15,1
5,98,0,0
5,99,2,0
5,100,4,0
5,101,6,0
5,102,8,0
5,103,9,0
5,104,10,0
5,105,12,0
5,106,12,0
5,107,12,0
5,108,13,0
5,109,13,1
5,110,0,0
5,111,1,0
5,112,3,0
5,113,4,0
5,114,5,0
5,115,6,0
5,116,8,1
5,117,0,0
5,118,1,0
5,119,2,0
6,0,0,0
6,1,2,0
6,2,3,0
6,3,5,0
6,4,7,0
6,5,7,0
6,6,8,0
6,7,10,0
6,8,10,0
6,9,11,0
6,10,13,0
6,11,14,0
6,12,15,0
6,13,16,0
6,14,18,0
6,15,19,1
6,16,0,0
6,17,1,0
6,18,3,0
6,19,5,0
6,20,7,0
6,21,9,0
6,22,10,0
6,23,12,1
6,24,0,0
6,25,2,0
6,26,4,0
6,27,4,0
6,28,5,0
6,29,7,0
6,30,8,0
6,31,8,0
6,32,10,0
6,33,12,0
6,34,14,0
6,35,14,0
6,36,16,0
6,37,17,0
6,38,19,0
6,39,21,0
6,40,22,0
6,41,23,0
6,42,24,1
6,43,0,0
6,44,1,0
6,45,3,0
6,46,4,0
6,47,5,0
6,48,5,0
6,49,7,0
6,50,8,0
6,51,10,0
6,52,11,0
6,53,13,0
6,54,14,0
6,55,15,0
6,56,17,1
6,57,0,0
6,58,1,0
6,59,2,0
6,60,3,0
6,61,4,0
6,62,6,0
6,63,8,0
6,64,9,0
6,65,10,0
6,66,12,0
6,67,13,0
6,68,15,1
6,69,0,0
6,70,1,0
6,71,1,0
6,72,3,0
6,73,5,0
6,74,6,0
6,75,6,0
6,76,6,0
6,77,7,0
6,78,9,0
6,79,11,0
6,80,13,0
6,81,15,1
6,82,0,0
6,83,1,0
6,84,3,0
6,85,5,0
6,86,5,0
6,87,7,0
6,88,8,0
6,89,10,1
6,90,0,0
6,91,1,0
6,92,2,0
6,93,3,0
6,94,4,0
6,95,6,0
6,96,8,0
6,97,9,0
6,98,10,0
6,99,12,0
6,100,14,0
6,101,15,0
6,102,16,0
6,103,16,0
6,104,17,0
6,105,19,1
6,106,0,0
6,107,1,0
6,108,2,0
6,109,4,0
6,110,5,0
6,111,7,0
6,112,9,0
6,113,10,0
6,114,11,0
6,115,13,0
6,116,15,0
6,117,16,0
6,118,18,1
6,119,0,0
7,0,0,0
7,1,1,0
7,2,3,0
7,3,5,0
7,4,7,0
7,5,8,0
7,6,9,0
7,7,10,1
7,8,0,0
7,9,2,0
7,10,4,0
7,11,5,0
7,12,6,0
7,13,7,0
7,14,8,0
7,15,9,0
7,16,9,0
7,17,10,0
7,18,11,0
7,19,13,0
7,20,15,0
7,21,16,0
7,22,18,1
7,23,0,0
7,24,2,0
7,25,4,0
7,26,5,0
7,27,6,0
7,28,7,0
7,29,8,0
7,30,10,0
7,31,12,0
7,32,14,0
7,33,16,0
7,34,18,0
7,35,18,1
7,36,0,0
7,37,2,0
7,38,4,0
7,39,5,0
7,40,7,0
7,41,9,0
7,42,9,0
7,43,11,0
7,44,13,1
7,45,0,0
7,46,2,0
7,47,4,0
7,48,5,0
7,49,7,0
7,50,8,0
7,51,9,0
7,52,10,0
7,53,12,0
7,54,13,0
7,55,14,0
7,56,16,1
7,57,0,0
7,58,2,0
7,59,4,0
7,60,5,0
7,61,7,0
7,62,9,0
7,63,10,0
7,64,11,0
7,65,12,0
7,66,13,0
7,67,14,1
7,68,0,0
7,69,1,0
7,70,3,0
7,71,4,0
7,72,5,0
7,73,5,0
7,74,5,0
7,75,7,0
7,76,8,0
7,77,10,0
7,78,10,0
7,79,12,0
7,80,13,0
7,81,14,0
7,82,14,0
7,83,16,0
7,84,16,0
7,85,17,0
7,86,19,1
7,87,0,0
7,88,1,0
7,89,1,0
7,90,2,0
7,91,3,0
7,92,4,0
7,93,5,0
7,94,6,0
7,95,8,0
7,96,9,0
7,97,10,0
7,98,12,0
7,99,12,0
7,100,13,0
7,101,15,0
7,102,16,0
7,103,17,0
7,104,19,1
7,105,0,0
7,106,1,0
7,107,2,0
7,108,3,0
7,109,4,0
7,110,6,0
